E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
1.94896274155533E-05,0.632466130645294,2.13940717080687E-05,0.628673457501356,2.2713207792925E-05,0.592430644455437,1.90749549859544E-05,0.509323015298239,3.12745999985158E-05,0.896181917326728
1.96935823569529E-05,0.639084758588384,2.15714534387872E-05,0.63388589146297,2.29025726253031E-05,0.597369864432895,1.92698149660335E-05,0.51452599861788,3.17484575742509E-05,0.909760431225617
1.98412934565737E-05,0.643878193867502,2.17414952358207E-05,0.638882638502035,2.3140444705384E-05,0.603574303320834,1.94505689206186E-05,0.519352334996874,3.2222315149986E-05,0.923338945124507
2.00671210031095E-05,0.651206618957691,2.19537416515425E-05,0.645119585345761,2.3415319109033E-05,0.610743877146897,1.97431869378417E-05,0.527165569207513,3.26961727257211E-05,0.936917459023397
2.02523279972495E-05,0.657216849346124,2.218953702117E-05,0.652048527732665,2.36311141725312E-05,0.616372479223015,2.00161221287942E-05,0.534453249547481,3.31700303014562E-05,0.950495972922287
2.04224798216205E-05,0.662738518061877,2.23834336026795E-05,0.657746257270017,2.38322948729395E-05,0.621619893550461,2.02142625799184E-05,0.5397438251789,3.36438878771912E-05,0.964074486821177
2.06551248035234E-05,0.670288178626487,2.25791651676102E-05,0.663497908538005,2.40502665437064E-05,0.627305268269998,2.04498004009567E-05,0.546032953164594,3.41177454529263E-05,0.977653000720066
2.08695899577806E-05,0.677247877925976,2.28611409533385E-05,0.671783881145951,2.43556134491174E-05,0.635269659103928,2.06653273486199E-05,0.551787768048439,3.45916030286614E-05,0.991231514618956
2.10888841287562E-05,0.684364285686512,2.30733873690603E-05,0.678020827989676,2.46090327239748E-05,0.641879616873431,2.09713952971279E-05,0.55996013073737,3.50654606043965E-05,1.00481002851785
2.13644221415105E-05,0.69330588611102,2.32532157443404E-05,0.68330515759214,2.49289939924757E-05,0.650225195456032,2.11715040308791E-05,0.565303261755856,3.55393181801316E-05,1.01838854241674
2.15598552887012E-05,0.699647969711084,2.3513171729014E-05,0.690944069432438,2.5171219287094E-05,0.65654317963081,2.13876870727513E-05,0.571075595102057,3.60131757558667E-05,1.03196705631563
