E1_C01_X,E1_C01_Y,E1_C02_X,E1_C02_Y,E1_C03_X,E1_C03_Y,E1_C04_X,E1_C04_Y,E1_C05_X,E1_C05_Y,MEAN_X,MEAN_Y
9.55588633952017E-05,3.2895631647362,0.000108411845594448,3.28094039607804,0.000112234510396111,3.37570360269609,0.000109877016850428,3.20609962798286,0.00011100399184446,3.25171130889839,0.000410565925137948,12.5828602472578
9.74852393551553E-05,3.35587763493966,0.000110137847930131,3.33317556240898,0.000113784087664825,3.42231060040287,0.00011168624353435,3.25889102298548,0.000112569549788648,3.29757220441452,0.000417082844584582,12.7825881876904
9.96394662351035E-05,3.43003575215642,0.000111902238683889,3.38657250318355,0.000115161162040638,3.46372918827931,0.000113396480542806,3.30879399991135,0.000114313115778968,3.34864760408554,0.000423599764031216,12.9823161281231
0.000100922422267573,3.47420083278251,0.000114455068485768,3.46383050368499,0.000117349147451458,3.5295377368967,0.00011543262202126,3.36820653788988,0.000115878673723156,3.39450849960166,0.00043011668347785,13.1820440685558
0.000103281197132516,3.55540040584077,0.000116012752372976,3.51097173591693,0.000118911994173472,3.57654384305197,0.00011685198167565,3.40962200939025,0.000118252114338252,3.46403522166692,0.000436633602924484,13.3817720089884
0.000105247705924969,3.62309642750679,0.000118135927187957,3.5752267993762,0.000120859655041189,3.6351240942134,0.000118530237404339,3.45859180509133,0.000119980465965654,3.51466493722214,0.000443150522371118,13.5814999494211
0.000106585035472436,3.66913328753379,0.000120820163497857,3.65646164316545,0.00012311546210221,3.70297253045639,0.000119935890795973,3.49960734178107,0.000121806189515728,3.56814703111849,0.000449667441817753,13.7812278898538
0.000109046084329877,3.7538535885128,0.000123184004164606,3.72800013871364,0.000124597217720723,3.74753964053757,0.000121670494493773,3.55022131392583,0.000123975757667731,3.631701586032,0.000456184361264387,13.9809558302864
0.000111948594344807,3.8537709555801,0.000124759405783233,3.77567757453494,0.000126373850079239,3.80097582725181,0.00012340357527349,3.60079084886941,0.000125725409403218,3.68295525934934,0.000462701280711021,14.1806837707191
0.000114377278014749,3.9373771021538,0.000127285658987984,3.85213126965233,0.000128653247279459,3.86953378962545,0.000125394029209422,3.65887027081252,0.000127806734250302,3.74392484639118,0.000469218200157655,14.3804117111517
0.000116767123459692,4.01964626344115,0.00012961111123666,3.92250799075689,0.000130217568385174,3.91658424116389,0.000126805774273391,3.70006355630699,0.000129920009259512,3.80583037007621,0.000475735119604289,14.5801396515844
0.000119070230202136,4.0989294909223,0.000131785962768279,3.98832698135181,0.00013204727855689,3.97161686167209,0.000128750540666799,3.75680986221468,0.000131487088639992,3.85173583400392,0.000482252039050923,14.7798675920171
0.000121303428139582,4.17580614488799,0.00013336579381976,4.03613846807046,0.000134372381651811,4.04154953092385,0.00013078515922717,3.81617796299203,0.000132906588700174,3.89331816200833,0.000488768958497557,14.9795955324497
0.000122838832634546,4.22866162987542,0.00013620653675719,4.12210977689913,0.000136005998791426,4.09068421547106,0.000132379654461233,3.86270371262818,0.000134736876559122,3.94693396113943,0.000495285877944191,15.1793234728824
0.000124609855694503,4.28962815893344,0.000138539371393956,4.19270991616592,0.000137953659659143,4.14926446663249,0.000133829472477305,3.90500792815216,0.000136512392711569,3.99894529745364,0.000501802797390825,15.3790514133151
0.000126852115884449,4.36681677613262,0.000139896254325088,4.23377417438502,0.000139338105953456,4.19090478142475,0.000135638699161227,3.95779932315477,0.000138587631813485,4.05973661084916,0.000508319716837459,15.5787793537477
0.00012846778604441,4.42243536404519,0.000142425460485076,4.31031723676731,0.000140781527595769,4.23431891154363,0.000137915461696971,4.02423293891985,0.000140956508119705,4.12912962767968,0.000514836636284094,15.7785072941804
0.000130603888419359,4.49596955479499,0.000144960572555537,4.38703903367938,0.000142506556524784,4.2862030098471,0.000140256186792248,4.09253291713451,0.000142776145924612,4.18243344792971,0.000521353555730728,15.9782352346131
0.000132034429706824,4.54521517950924,0.000147219583311394,4.45540499132381,0.000143902797888697,4.32819808770469,0.000142577113952431,4.16025521173382,0.000144820956300694,4.24233339309363,0.000527870475177362,16.1779631750457
