E1_Z05_X,E1_Z05_Y,E1_Z06_X,E1_Z06_Y,E1_Z07_X,E1_Z07_Y,E1_Z08_X,E1_Z08_Y,E1_Z09_X,E1_Z09_Y,MEAN_X,MEAN_Y
9.65446579200201E-06,0.327770902400521,8.2845480513415E-06,0.24592451810631,1.04516663940632E-05,0.335975104685562,1.46419620286454E-05,0.438903588446684,8.90639310699472E-06,0.244761852128045,6.52579814018114E-05,1.99999838842311
1.08028624383766E-05,0.366759181317803,9.60719226038458E-06,0.285186845721435,1.17259855430185E-05,0.376938860447634,1.59823111666741E-05,0.479081540370156,7.41636359145202E-06,0.20381347049157,7.06961465186291E-05,2.16666492079171
9.56120051377582E-06,0.324604528924719,1.10195892074936E-05,0.327113458548115,1.3008481403079E-05,0.418165461507863,1.72815105484524E-05,0.518025998063368,9.01817355763093E-06,0.247833756747653,7.61343116354467E-05,2.3333314531603
1.07914198208261E-05,0.366370702331895,9.70554146603141E-06,0.288106314696079,1.43268878162356E-05,0.460546428903645,1.86232930009076E-05,0.558246914641708,7.60054565261387E-06,0.208875086555129,8.15724767522643E-05,2.49999798552889
9.48106354238679E-06,0.321883863898428,1.11499839022864E-05,0.330984189007012,1.31052771195938E-05,0.421277018054256,1.99431716545217E-05,0.597811248728361,9.09554919014013E-06,0.249960162229088,8.70106418690819E-05,2.66666451789748
1.0670061278727E-05,0.36225055734254,9.77868995886663E-06,0.290277707479272,1.44424038232744E-05,0.464259760452362,2.12424367137128E-05,0.636757675150362,1.05681075231656E-05,0.290428407974364,9.24488069858995E-05,2.83333105026608
9.47557636624319E-06,0.321697573251698,1.10918158366271E-05,0.329257486062231,1.58046852974676E-05,0.508051118083449,2.26069950170845E-05,0.677661314623192,9.13148541661791E-06,0.250947746905121,9.78869721027171E-05,2.99999758263467
1.06767372758664E-05,0.36247720868234,9.51961603579022E-06,0.282587169710449,1.70404765288848E-05,0.54777637075519,2.39479105338693E-05,0.717856244166739,1.06733883408801E-05,0.29332169234075,0.000103325137219535,3.16666411500326
9.4677003974601E-06,0.321430182652267,1.09742605771979E-05,0.325767890691809,1.83306761176823E-05,0.589250612810766,2.52794222691201E-05,0.757769288437521,1.21713189812389E-05,0.334487209457396,0.000108763302336352,3.33333064737185
1.06312698650663E-05,0.360933581661556,9.63000034692272E-06,0.285863897463553,1.71126329110015E-05,0.550095881072621,2.65844593611429E-05,0.79688873579193,1.07135405267582E-05,0.294425138288448,0.00011420146745317,3.49999717974045
1.18362477915229E-05,0.4018428055209,1.10439052137692E-05,0.327835272470677,1.83499491492766E-05,0.58987015600736,2.78827514070103E-05,0.835805995423403,1.216910411045E-05,0.334426341284389,0.000119639632569988,3.66666371210904
1.06768860863488E-05,0.362482260825786,9.72333429463093E-06,0.28863448989308,1.95702230636363E-05,0.62909659518599,2.9217051053568E-05,0.875802609387545,1.36745924445166E-05,0.375799555847971,0.000125077797686805,3.83333024447763
9.51436372562687E-06,0.323014411289227,1.13129688491942E-05,0.335822352088268,2.07812529846906E-05,0.668025880637991,3.05676449128189E-05,0.916287654369874,1.52463364640626E-05,0.418993582057429,0.000130515962803623,3.99999677684623
1.0962637550585E-05,0.372183575980123,9.99496582737499E-06,0.296697796832527,2.21125808182218E-05,0.710822214866141,3.19184560829311E-05,0.956779213405214,1.66583763933002E-05,0.457798685785392,0.00013595412792044,4.16666330921482
1.21732809048071E-05,0.413285142161786,1.16049807092766E-05,0.344490643409297,2.34130020487025E-05,0.752625037743672,3.33745149815212E-05,1.00042565056512,1.8179238405981E-05,0.499594393495911,0.000141392293037258,4.33332984158341
1.08792893532047E-05,0.369353889236457,1.31173200696963E-05,0.389384019139576,2.46744866124384E-05,0.79317621804169,3.47964450466978E-05,1.04304905082427,1.98201708324515E-05,0.544689827202342,0.000146830458154076,4.499996373952
1.23189029089696E-05,0.418229036183688,1.17779044142221E-05,0.34962383577469,2.61262817669513E-05,0.839845046784303,3.61245450165119E-05,1.08285982491499,2.15573584685745E-05,0.592430507206403,0.000152268623270893,4.6666629063206
1.09931967923549E-05,0.373221067900172,1.3145954117215E-05,0.390234012922437,2.75379167116395E-05,0.88522290141893,3.74460927693765E-05,1.12247419148015,2.30769420970829E-05,0.63419108288603,0.000157706788387711,4.83332943868919
1.22440475445661E-05,0.41568768269312,1.16649248184404E-05,0.346270067714408,2.62415769642351E-05,0.84355128027059,3.87853301418613E-05,1.16261881741317,2.45753456429157E-05,0.675369596197465,0.000163144953504529,4.99999597105778
1.34315198383837E-05,0.45600258708096,1.30471881625329E-05,0.38730217286792,2.76746467411192E-05,0.88961817048284,4.00899833460913E-05,1.20172675744844,2.31339221806891E-05,0.635756986235493,0.000168583118621346,5.16666250342637
